"Comment","Designator","Footprint","LCSC"
"12pF","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1547"
"-- mixed values --","C3,C5,C7,C8,C9,C10,C11,C12,C13,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF","C4,C6","Capacitor_SMD:C_0402_1005Metric","C52923"
"10uF","C14,C15","Capacitor_SMD:C_1206_3216Metric","C13585"
"-- mixed values --","J1,SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9","-- mixed values --",""
"27r","R1,R2","Resistor_SMD:R_0805_2012Metric"," C17594"
"1k","R3","Resistor_SMD:R_0402_1005Metric"," C11702"
"5.1k","R5","Resistor_SMD:R_0402_1005Metric","C25905"
"RP2040","U1","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"W25Q128JVS","U2","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"NCP1117-3.3_SOT223","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C26537"
"~","USBC1","Library:USB-C-SMD_C67380","C67380"
"XYDBPCNANF-12MHZ","Y1","Library:OSC-SMD_4P-L2.5-W2.0-BL","C521567"
